

=== Predictions on test data ===

inst#     actual  predicted error prediction
179     1:spam     1:spam       0.923
180      2:ham      2:ham       1
181      2:ham      2:ham       0.99
182      2:ham      2:ham       0.83
183     1:spam     1:spam       0.923
184     1:spam     1:spam       0.923
185     1:spam     1:spam       0.923
186     1:spam     1:spam       0.923
187     1:spam     1:spam       0.923
188      2:ham     1:spam   +   0.923
189      2:ham      2:ham       0.99
190     1:spam     1:spam       0.923
191      2:ham      2:ham       0.999
192     1:spam     1:spam       0.923
193     1:spam     1:spam       0.923
194      2:ham      2:ham       0.808
195     1:spam     1:spam       0.923
196      2:ham     1:spam   +   0.552
197     1:spam     1:spam       0.923
198     1:spam     1:spam       0.923
199      2:ham     1:spam   +   0.923
200      2:ham     1:spam   +   0.568
201     1:spam     1:spam       0.923
202     1:spam     1:spam       0.923
203      2:ham      2:ham       0.99
204     1:spam     1:spam       0.923
205     1:spam     1:spam       0.923
206     1:spam     1:spam       0.923
207      2:ham      2:ham       0.973
208      2:ham     1:spam   +   0.568
209     1:spam     1:spam       0.923
210      2:ham      2:ham       0.871
211     1:spam     1:spam       0.923
212     1:spam     1:spam       0.923
213     1:spam     1:spam       0.923
214     1:spam     1:spam       0.923
215     1:spam     1:spam       0.923
216     1:spam     1:spam       0.923
217     1:spam     1:spam       0.923
218      2:ham      2:ham       0.871
219     1:spam     1:spam       0.923
220     1:spam     1:spam       0.923
221     1:spam     1:spam       0.923
222     1:spam     1:spam       0.923
223      2:ham      2:ham       0.83
224      2:ham      2:ham       0.915
225     1:spam     1:spam       0.923
226     1:spam     1:spam       0.923
227     1:spam     1:spam       0.923
228     1:spam     1:spam       0.923
229     1:spam     1:spam       0.923
230      2:ham      2:ham       0.99
231     1:spam     1:spam       0.923
232     1:spam     1:spam       0.923
233     1:spam     1:spam       0.923
234     1:spam     1:spam       0.923
235      2:ham     1:spam   +   0.923
236     1:spam     1:spam       0.923
237     1:spam     1:spam       0.923
238      2:ham      2:ham       0.988
239     1:spam     1:spam       0.923
240     1:spam     1:spam       0.923
241     1:spam     1:spam       0.923
242     1:spam     1:spam       0.923
243     1:spam     1:spam       0.923
244     1:spam     1:spam       0.923
245     1:spam     1:spam       0.923
246     1:spam     1:spam       0.923
247     1:spam     1:spam       0.923
248     1:spam     1:spam       0.923
249     1:spam     1:spam       0.923
250     1:spam     1:spam       0.923
251     1:spam     1:spam       0.923
252     1:spam     1:spam       0.923
253     1:spam     1:spam       0.923
254     1:spam     1:spam       0.923
255     1:spam     1:spam       0.923
256     1:spam     1:spam       0.923
257     1:spam     1:spam       0.923
258     1:spam     1:spam       0.923
259     1:spam     1:spam       0.923
260     1:spam     1:spam       0.923
261      2:ham     1:spam   +   0.568
262     1:spam     1:spam       0.923
263      2:ham      2:ham       0.99
264     1:spam     1:spam       0.923
265     1:spam     1:spam       0.923
266      2:ham      2:ham       0.99
267     1:spam     1:spam       0.923
268     1:spam     1:spam       0.923
269     1:spam     1:spam       0.923
270      2:ham      2:ham       0.99
271      2:ham      2:ham       0.999
272     1:spam     1:spam       0.923
273     1:spam     1:spam       0.923
274     1:spam     1:spam       0.923
275     1:spam     1:spam       0.923
276     1:spam     1:spam       0.552
277     1:spam     1:spam       0.923
278     1:spam     1:spam       0.923
279      2:ham      2:ham       0.993
280      2:ham      2:ham       0.993
281      2:ham      2:ham       0.83
282     1:spam     1:spam       0.923
283     1:spam     1:spam       0.923
284     1:spam     1:spam       0.923
285     1:spam     1:spam       0.923
286     1:spam     1:spam       0.923
287     1:spam     1:spam       0.923
288      2:ham      2:ham       0.99
289     1:spam     1:spam       0.923
290     1:spam     1:spam       0.552
291     1:spam     1:spam       0.923
292      2:ham      2:ham       0.999
293      2:ham      2:ham       1
294     1:spam     1:spam       0.923
295     1:spam     1:spam       0.923
296     1:spam     1:spam       0.923
297     1:spam     1:spam       0.923
298     1:spam     1:spam       0.923
299     1:spam     1:spam       0.923
300     1:spam     1:spam       0.923
301     1:spam     1:spam       0.923
302     1:spam     1:spam       0.923
303     1:spam     1:spam       0.923
304     1:spam     1:spam       0.923
305     1:spam     1:spam       0.923
306     1:spam     1:spam       0.923
307     1:spam     1:spam       0.923
308     1:spam     1:spam       0.923
309     1:spam     1:spam       0.923
310     1:spam     1:spam       0.923
311     1:spam     1:spam       0.923
312     1:spam     1:spam       0.923
313     1:spam     1:spam       0.923
314     1:spam     1:spam       0.923
315     1:spam     1:spam       0.923
316     1:spam     1:spam       0.923
317     1:spam     1:spam       0.923
318     1:spam     1:spam       0.923
319     1:spam     1:spam       0.923
320     1:spam     1:spam       0.923
321      2:ham     1:spam   +   0.573
322     1:spam     1:spam       0.923
323     1:spam     1:spam       0.568
324     1:spam     1:spam       0.568
325     1:spam     1:spam       0.923
326     1:spam     1:spam       0.568
327     1:spam     1:spam       0.923
328     1:spam     1:spam       0.923
329     1:spam     1:spam       0.923
330      2:ham     1:spam   +   0.573
331     1:spam     1:spam       0.552
332      2:ham      2:ham       0.915
333      2:ham      2:ham       0.99
334     1:spam     1:spam       0.923
335     1:spam     1:spam       0.923
336      2:ham      2:ham       0.994
337      2:ham     1:spam   +   0.568
338      2:ham      2:ham       0.999
339      2:ham      2:ham       0.999
340     1:spam     1:spam       0.923
341      2:ham     1:spam   +   0.568
342     1:spam     1:spam       0.923
343     1:spam     1:spam       0.923
344      2:ham      2:ham       0.994
345      2:ham      2:ham       0.999
346     1:spam     1:spam       0.923
347     1:spam     1:spam       0.923
348      2:ham      2:ham       0.994
349     1:spam     1:spam       0.923
350     1:spam     1:spam       0.923
351     1:spam     1:spam       0.923
352      2:ham      2:ham       0.915
353     1:spam     1:spam       0.923
354      2:ham      2:ham       0.994
355     1:spam     1:spam       0.923
356     1:spam     1:spam       0.923
357     1:spam     1:spam       0.923
358     1:spam     1:spam       0.923
359     1:spam     1:spam       0.923
360      2:ham      2:ham       0.871
361      2:ham      2:ham       0.871
362     1:spam     1:spam       0.923
363     1:spam     1:spam       0.923
364      2:ham      2:ham       0.871
365     1:spam     1:spam       0.923
366     1:spam     1:spam       0.923
367     1:spam     1:spam       0.923
368     1:spam     1:spam       0.923
369     1:spam     1:spam       0.923
370     1:spam     1:spam       0.923
371     1:spam     1:spam       0.923
372     1:spam     1:spam       0.923
373     1:spam     1:spam       0.923
374      2:ham     1:spam   +   0.552
375     1:spam     1:spam       0.923
376      2:ham      2:ham       0.99
377     1:spam     1:spam       0.923
378     1:spam     1:spam       0.923
379     1:spam     1:spam       0.923
380      2:ham      2:ham       0.828
381     1:spam     1:spam       0.923
382      2:ham      2:ham       0.945
383     1:spam     1:spam       0.923
384     1:spam     1:spam       0.923
385     1:spam     1:spam       0.923
386      2:ham      2:ham       0.99
387     1:spam     1:spam       0.923
388     1:spam     1:spam       0.923
389     1:spam     1:spam       0.923
390      2:ham     1:spam   +   0.552
391     1:spam     1:spam       0.923
392     1:spam     1:spam       0.709
393     1:spam     1:spam       0.923
394     1:spam     1:spam       0.923
395      2:ham      2:ham       0.726
396      2:ham      2:ham       0.987
397      2:ham      2:ham       0.99
398     1:spam     1:spam       0.923
399     1:spam     1:spam       0.552
400     1:spam     1:spam       0.923
401      2:ham      2:ham       0.995
402     1:spam     1:spam       0.923
403      2:ham     1:spam   +   0.573
404     1:spam     1:spam       0.923
405     1:spam     1:spam       0.923
406     1:spam     1:spam       0.923
407      2:ham      2:ham       0.642
408     1:spam     1:spam       0.923
409     1:spam     1:spam       0.923
410     1:spam     1:spam       0.923
411     1:spam     1:spam       0.923
412      2:ham     1:spam   +   0.923
413     1:spam     1:spam       0.923
414     1:spam     1:spam       0.923
415     1:spam     1:spam       0.923
416      2:ham     1:spam   +   0.573
417      2:ham      2:ham       0.999
418     1:spam     1:spam       0.923
419     1:spam     1:spam       0.923
420      2:ham      2:ham       0.829
421      2:ham     1:spam   +   0.923
422     1:spam     1:spam       0.923
423     1:spam     1:spam       0.923
424     1:spam     1:spam       0.923
425     1:spam     1:spam       0.923
426     1:spam     1:spam       0.923
427     1:spam     1:spam       0.923
428      2:ham     1:spam   +   0.923
429     1:spam     1:spam       0.568
430     1:spam     1:spam       0.568
431      2:ham     1:spam   +   0.573
432     1:spam     1:spam       0.552
433     1:spam     1:spam       0.923
434     1:spam     1:spam       0.923
435     1:spam     1:spam       0.923
436     1:spam     1:spam       0.923
437     1:spam     1:spam       0.923
438     1:spam     1:spam       0.568
439     1:spam     1:spam       0.923
440     1:spam     1:spam       0.923
441      2:ham      2:ham       0.915
442     1:spam     1:spam       0.923
443     1:spam     1:spam       0.923
444      2:ham      2:ham       0.897
445     1:spam     1:spam       0.923
446     1:spam     1:spam       0.923
447     1:spam     1:spam       0.923
448     1:spam     1:spam       0.923
449     1:spam     1:spam       0.923
450     1:spam     1:spam       0.923
451      2:ham      2:ham       0.945
452     1:spam     1:spam       0.923
453      2:ham      2:ham       0.99
454      2:ham     1:spam   +   0.552
455     1:spam     1:spam       0.923
456     1:spam     1:spam       0.923
457     1:spam     1:spam       0.923
458      2:ham      2:ham       0.915
459     1:spam     1:spam       0.923
460     1:spam     1:spam       0.923
461     1:spam     1:spam       0.923
462     1:spam     1:spam       0.923
463     1:spam     1:spam       0.923
464      2:ham      2:ham       0.915
465     1:spam     1:spam       0.923
466      2:ham      2:ham       0.787
467     1:spam     1:spam       0.923
468     1:spam     1:spam       0.923
469     1:spam     1:spam       0.923
470     1:spam     1:spam       0.923
471      2:ham      2:ham       0.819
472      2:ham     1:spam   +   0.552
473     1:spam     1:spam       0.923
474      2:ham      2:ham       0.99
475     1:spam     1:spam       0.923
476      2:ham     1:spam   +   0.923
477     1:spam     1:spam       0.923
478     1:spam     1:spam       0.923
479      2:ham      2:ham       0.915
480     1:spam     1:spam       0.923
481     1:spam     1:spam       0.923
482      2:ham      2:ham       0.99
483     1:spam     1:spam       0.923
484      2:ham      2:ham       0.915
485     1:spam     1:spam       0.923
486     1:spam     1:spam       0.923
487      2:ham     1:spam   +   0.709
488      2:ham      2:ham       0.915
489     1:spam     1:spam       0.923
490     1:spam     1:spam       0.923
491     1:spam     1:spam       0.923
492     1:spam     1:spam       0.923
493      2:ham      2:ham       0.99
494     1:spam     1:spam       0.923
495     1:spam     1:spam       0.923
496     1:spam     1:spam       0.923
497     1:spam     1:spam       0.923
498     1:spam     1:spam       0.923
499      2:ham      2:ham       0.999
500     1:spam     1:spam       0.568
501     1:spam     1:spam       0.923
502     1:spam     1:spam       0.923
503     1:spam     1:spam       0.923
504      2:ham     1:spam   +   0.923
505     1:spam     1:spam       0.923
506     1:spam     1:spam       0.923
507     1:spam     1:spam       0.923
508     1:spam     1:spam       0.923
509      2:ham      2:ham       0.999
510     1:spam     1:spam       0.923
511      2:ham      2:ham       0.99
512     1:spam     1:spam       0.923
513     1:spam     1:spam       0.923
514     1:spam     1:spam       0.923
515     1:spam     1:spam       0.923
516     1:spam     1:spam       0.923
517      2:ham      2:ham       0.915
518     1:spam     1:spam       0.923
519      2:ham      2:ham       0.99
520     1:spam     1:spam       0.923
521     1:spam     1:spam       0.923
522     1:spam     1:spam       0.923
523     1:spam     1:spam       0.923
524     1:spam     1:spam       0.923
525     1:spam     1:spam       0.923
526      2:ham      2:ham       0.857
527      2:ham      2:ham       0.99
528     1:spam     1:spam       0.923
529      2:ham      2:ham       0.999
530     1:spam     1:spam       0.923
531     1:spam     1:spam       0.923
532     1:spam     1:spam       0.923
533     1:spam     1:spam       0.923
534     1:spam     1:spam       0.923
535     1:spam     1:spam       0.923
536      2:ham      2:ham       0.799
537      2:ham      2:ham       0.799
538      2:ham      2:ham       0.942
539      2:ham      2:ham       0.799
540      2:ham      2:ham       0.994
541      2:ham      2:ham       0.99
542     1:spam     1:spam       0.923
543     1:spam     1:spam       0.923
544     1:spam     1:spam       0.923
545      2:ham      2:ham       0.999
546     1:spam     1:spam       0.923
547     1:spam     1:spam       0.923
548     1:spam     1:spam       0.923
549     1:spam     1:spam       0.923
550      2:ham      2:ham       0.999
551     1:spam     1:spam       0.568
552     1:spam     1:spam       0.923
553     1:spam     1:spam       0.568
554     1:spam     1:spam       0.923
555     1:spam     1:spam       0.923
556      2:ham      2:ham       0.99
557     1:spam      2:ham   +   0.973
558     1:spam     1:spam       0.923
559     1:spam      2:ham   +   0.973
560      2:ham      2:ham       0.973
561     1:spam     1:spam       0.568
562      2:ham      2:ham       0.999
563     1:spam     1:spam       0.923
564     1:spam     1:spam       0.923
565     1:spam     1:spam       0.923
566     1:spam     1:spam       0.923
567     1:spam     1:spam       0.923
568     1:spam     1:spam       0.923
569      2:ham      2:ham       0.99
570     1:spam     1:spam       0.923
571     1:spam     1:spam       0.709
572     1:spam     1:spam       0.923
573     1:spam     1:spam       0.923
574     1:spam     1:spam       0.923
575     1:spam     1:spam       0.923
576     1:spam     1:spam       0.923
577     1:spam     1:spam       0.923
578     1:spam     1:spam       0.923
579     1:spam     1:spam       0.923
580     1:spam     1:spam       0.923
581     1:spam     1:spam       0.923
582     1:spam     1:spam       0.923
583     1:spam     1:spam       0.923
584     1:spam     1:spam       0.923
585     1:spam     1:spam       0.923
586     1:spam     1:spam       0.923
587     1:spam     1:spam       0.923
588     1:spam     1:spam       0.923
589     1:spam     1:spam       0.923
590     1:spam     1:spam       0.923
591     1:spam     1:spam       0.923
592     1:spam     1:spam       0.923
593     1:spam     1:spam       0.923
594     1:spam     1:spam       0.923
595     1:spam     1:spam       0.923
596     1:spam     1:spam       0.923
597     1:spam     1:spam       0.923
598      2:ham      2:ham       0.642
599      2:ham      2:ham       0.99
600      2:ham      2:ham       0.999
601     1:spam     1:spam       0.923
602      2:ham      2:ham       0.999
603     1:spam     1:spam       0.923
604     1:spam     1:spam       0.923
605      2:ham      2:ham       0.915
606     1:spam     1:spam       0.923
607     1:spam     1:spam       0.923
608      2:ham      2:ham       0.799
609      2:ham      2:ham       0.99
610     1:spam     1:spam       0.923
611      2:ham      2:ham       0.799
612     1:spam     1:spam       0.923
613      2:ham      2:ham       0.915
614      2:ham      2:ham       0.999
615     1:spam     1:spam       0.923
616     1:spam     1:spam       0.923
617     1:spam     1:spam       0.923
618     1:spam     1:spam       0.923
619     1:spam     1:spam       0.923
620     1:spam     1:spam       0.923
621      2:ham      2:ham       0.99
622     1:spam     1:spam       0.923
623     1:spam     1:spam       0.923
624      2:ham      2:ham       0.915
625     1:spam     1:spam       0.923
626      2:ham      2:ham       0.99
627     1:spam     1:spam       0.923
628      2:ham      2:ham       0.857
629      2:ham      2:ham       0.999
630      2:ham      2:ham       0.999
631     1:spam     1:spam       0.923
632     1:spam     1:spam       0.923
633     1:spam     1:spam       0.923
634     1:spam     1:spam       0.923
635     1:spam     1:spam       0.923
636      2:ham     1:spam   +   0.552
637      2:ham      2:ham       0.915
638     1:spam     1:spam       0.923
639      2:ham      2:ham       0.857
640      2:ham      2:ham       0.857
641      2:ham      2:ham       0.857
642      2:ham      2:ham       0.857
643      2:ham      2:ham       0.857
644     1:spam     1:spam       0.923
645      2:ham      2:ham       0.915
646      2:ham      2:ham       0.915
647     1:spam     1:spam       0.923
648     1:spam     1:spam       0.923
649     1:spam     1:spam       0.923
650      2:ham      2:ham       0.999
651     1:spam     1:spam       0.923
652     1:spam     1:spam       0.923
653     1:spam     1:spam       0.923
654      2:ham      2:ham       0.99
655      2:ham      2:ham       0.99
656     1:spam     1:spam       0.923
657     1:spam     1:spam       0.923
658      2:ham     1:spam   +   0.573
659      2:ham      2:ham       0.915
660     1:spam     1:spam       0.923
661      2:ham      2:ham       0.99
662     1:spam     1:spam       0.923
663     1:spam     1:spam       0.923
664     1:spam     1:spam       0.923
665     1:spam     1:spam       0.923
666     1:spam     1:spam       0.923
667     1:spam     1:spam       0.923
668     1:spam     1:spam       0.923
669     1:spam     1:spam       0.923
670     1:spam     1:spam       0.923
671      2:ham      2:ham       0.857
672      2:ham      2:ham       0.857
673      2:ham     1:spam   +   0.923
674     1:spam     1:spam       0.923
675      2:ham     1:spam   +   0.552
676      2:ham      2:ham       0.915
677     1:spam     1:spam       0.923
678     1:spam     1:spam       0.923
679     1:spam     1:spam       0.923
680      2:ham     1:spam   +   0.923
681     1:spam     1:spam       0.923
682     1:spam     1:spam       0.923
683     1:spam     1:spam       0.923
684     1:spam     1:spam       0.923
685      2:ham      2:ham       0.993
686     1:spam     1:spam       0.923
687      2:ham      2:ham       0.915
688      2:ham      2:ham       0.99
689      2:ham      2:ham       0.915
690      2:ham     1:spam   +   0.573
691     1:spam     1:spam       0.923
692     1:spam     1:spam       0.923
693     1:spam     1:spam       0.923
694     1:spam     1:spam       0.923
695     1:spam     1:spam       0.923
696     1:spam     1:spam       0.923
697     1:spam     1:spam       0.923
698      2:ham      2:ham       0.967
699     1:spam     1:spam       0.923
700     1:spam     1:spam       0.923
701     1:spam     1:spam       0.923
702     1:spam     1:spam       0.923
703     1:spam     1:spam       0.666
704     1:spam     1:spam       0.923
705      2:ham      2:ham       0.942
706     1:spam     1:spam       0.923
707     1:spam     1:spam       0.923
708     1:spam     1:spam       0.923
709      2:ham      2:ham       0.915
710     1:spam     1:spam       0.923
711     1:spam     1:spam       0.923
712     1:spam     1:spam       0.923
713     1:spam     1:spam       0.923
714     1:spam     1:spam       0.923
715     1:spam     1:spam       0.923
716      2:ham      2:ham       0.915
717     1:spam     1:spam       0.923
718     1:spam     1:spam       0.923
719     1:spam     1:spam       0.923
720      2:ham      2:ham       0.994
721      2:ham      2:ham       0.999
722      2:ham      2:ham       0.994
723     1:spam     1:spam       0.923
724      2:ham      2:ham       0.915
725      2:ham      2:ham       0.999
726      2:ham      2:ham       0.999
727     1:spam     1:spam       0.923
728      2:ham      2:ham       0.99
729     1:spam     1:spam       0.923
730      2:ham      2:ham       0.99
731     1:spam     1:spam       0.923
732     1:spam     1:spam       0.923
733     1:spam     1:spam       0.923
734     1:spam     1:spam       0.923
735     1:spam     1:spam       0.923
736     1:spam     1:spam       0.923
737     1:spam     1:spam       0.923
738      2:ham      2:ham       0.915
739     1:spam     1:spam       0.923
740     1:spam     1:spam       0.923
741     1:spam     1:spam       0.923
742     1:spam     1:spam       0.923
743      2:ham      2:ham       0.915
744      2:ham      2:ham       0.857
745     1:spam     1:spam       0.923
746      2:ham     1:spam   +   0.552
747     1:spam     1:spam       0.923
748     1:spam     1:spam       0.923
749     1:spam     1:spam       0.923
750     1:spam     1:spam       0.923
751     1:spam     1:spam       0.923
752      2:ham      2:ham       0.857
753      2:ham     1:spam   +   0.923
754     1:spam     1:spam       0.923
755      2:ham      2:ham       0.642
756     1:spam     1:spam       0.923
757      2:ham      2:ham       0.99
758      2:ham      2:ham       0.99
759      2:ham      2:ham       0.993
760      2:ham      2:ham       0.967
761     1:spam     1:spam       0.923
762     1:spam     1:spam       0.923
763      2:ham      2:ham       0.799
764      2:ham      2:ham       0.999
765     1:spam     1:spam       0.923
766     1:spam     1:spam       0.923
767     1:spam     1:spam       0.923
768      2:ham      2:ham       0.871
769      2:ham     1:spam   +   0.568
770     1:spam     1:spam       0.923
771      2:ham      2:ham       0.871
772     1:spam     1:spam       0.923
773     1:spam     1:spam       0.923
774      2:ham      2:ham       0.915
775     1:spam     1:spam       0.923
776     1:spam     1:spam       0.923
777     1:spam     1:spam       0.923
778      2:ham     1:spam   +   0.552
779      2:ham      2:ham       0.962
780     1:spam      2:ham   +   0.84
781      2:ham      2:ham       0.915
782     1:spam     1:spam       0.923
783     1:spam     1:spam       0.923
784     1:spam     1:spam       0.923
785     1:spam     1:spam       0.923
786     1:spam     1:spam       0.923
787     1:spam     1:spam       0.923
788     1:spam     1:spam       0.923
789      2:ham     1:spam   +   0.568
790     1:spam     1:spam       0.923
791      2:ham      2:ham       0.967
792     1:spam     1:spam       0.923
793     1:spam     1:spam       0.923
794     1:spam     1:spam       0.923
795     1:spam     1:spam       0.923
796      2:ham      2:ham       0.726
797      2:ham     1:spam   +   0.923
798     1:spam     1:spam       0.923
799     1:spam     1:spam       0.923
800     1:spam     1:spam       0.923
801      2:ham      2:ham       0.99
802      2:ham      2:ham       0.99
803     1:spam     1:spam       0.923
804     1:spam     1:spam       0.923
805      2:ham      2:ham       1
806     1:spam     1:spam       0.923
807      2:ham      2:ham       0.99
808     1:spam     1:spam       0.923
809      2:ham      2:ham       0.915
810      2:ham      2:ham       0.857
811     1:spam     1:spam       0.923
812     1:spam     1:spam       0.552
813      2:ham      2:ham       0.99
814      2:ham      2:ham       0.99
815      2:ham     1:spam   +   0.923
816      2:ham     1:spam   +   0.71
817     1:spam     1:spam       0.923
818      2:ham     1:spam   +   0.923
819     1:spam     1:spam       0.923
820     1:spam     1:spam       0.923
821      2:ham      2:ham       0.857
822     1:spam     1:spam       0.923
823     1:spam     1:spam       0.923
824      2:ham     1:spam   +   0.573
825     1:spam     1:spam       0.923
826     1:spam     1:spam       0.923
827     1:spam     1:spam       0.923
828     1:spam     1:spam       0.923
829     1:spam     1:spam       0.923
830     1:spam     1:spam       0.923
831     1:spam     1:spam       0.923
832      2:ham      2:ham       0.799
833      2:ham      2:ham       0.992
834     1:spam     1:spam       0.923
835     1:spam     1:spam       0.923
836     1:spam     1:spam       0.923
837     1:spam     1:spam       0.923
838     1:spam     1:spam       0.923
839      2:ham     1:spam   +   0.923
840     1:spam     1:spam       0.923
841     1:spam     1:spam       0.923
842     1:spam     1:spam       0.923
843      2:ham     1:spam   +   0.552
844     1:spam     1:spam       0.923
845     1:spam     1:spam       0.923
846      2:ham      2:ham       0.897
847      2:ham     1:spam   +   0.573
848      2:ham      2:ham       0.897
849     1:spam     1:spam       0.923
850     1:spam     1:spam       0.923
851      2:ham      2:ham       0.897
852     1:spam     1:spam       0.923
853      2:ham      2:ham       0.99
854     1:spam     1:spam       0.923
855      2:ham      2:ham       0.99
856     1:spam     1:spam       0.923
857     1:spam     1:spam       0.923
858     1:spam     1:spam       0.923
859     1:spam     1:spam       0.923
860      2:ham      2:ham       0.799
861      2:ham      2:ham       0.799
862      2:ham      2:ham       0.915
863     1:spam     1:spam       0.923
864      2:ham      2:ham       0.799
865     1:spam     1:spam       0.923
